Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
M1_3kPa2;0.113;11.1106;6.4473;"273.3;570.1;1010";"885.8564669338688;1620.6312625250496;2384.8865731462956";"126.16428571428567;164.92685714285705;294.9834285714285"
M1_6kPa;0.04;96.2951;2.2864;"344.9;557.6;799.9";"1788.5591182364724;3298.8545090180364;4792.189178356711";"171.82685714285705;219.71485714285703;291.7965714285713"
M1_9kPa;0.045;175.3728;2.5965;"441.2;881.5;1289";"2703.836673346692;4953.942685370741;7198.557915831667";"301.8022857142856;392.3931428571427;505.64257142857116"
M2_3kPa;0.05;62.3612;2.8503;"363.4;528.5;866";"891.7320240480956;1641.942284569141;2395.3661322645285";"109.25028571428567;139.14085714285707;184.1039999999999"
M2_6kPa;0.028;105.3668;1.6246;"195.3;393.2;645.2";"1803.4507014028038;3283.7529058116243;4793.38456913828";"164.90257142857138;181.89714285714277;249.54285714285703"
M2_9kPa;0.038;140.8621;2.1917;"276;518.3;867.7";"2695.973747494987;4927.832865731457;7166.474749498999";"252.1485714285713;313.2554285714284;423.2117142857141"
