Sheetname;m;n;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
3kPa;0.137;329.095;329.0946;7.7945;"279.6;498.7;736.3";"822.8946546184739;1544.4700400801603;2281.2327309236953";"435.8699999999998;552.1194285714284;635.6145714285713"
6kPa;0.147;325.066;325.0665;8.3754;"284.2;816.3;1158.0";"1693.363654618474;3201.4589178356714;4695.988755020081";"571.8171428571426;801.5574285714282;1013.8659999999995"
15kPa;0.148;373.859;373.8587;8.4291;"209.6;428.7;844.7;1208.0";"5882.396586345381;7872.56372745491;9888.168737474949;11935.37751004016";"1198.4605714285708;1635.6285714285705;1789.4857142857136;2144.079999999999"
