Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
3kPa;0.249;204.9796;13.9818;"299.3;562.6;943.6";"900.5392785571139;1649.5200400801596;2400.1953907815646";"425.4657142857141;623.1671428571426;798.8751428571425"
6kPa;0.225;355.2464;12.658;"215.2;441.5;754.8";"1807.5771543086162;3309.2703406813625;4809.008016032062";"760.3054285714281;1100.2828571428568;1434.394285714285"
9kPa;0.244;267.8459;13.7073;"329.3;629.8;901.1";"2710.212825651303;4957.960120240483;7206.545691382772";"918.4297142857138;1498.0599999999993;2015.1314285714277"
