Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
3kPa;0.176;305.8829;9.9542;"825.9;1312;1827";"745.4411623246496;1483.5009218436871;2289.646492985969";"433.4828571428569;572.4239999999998;704.7682857142854"
6kPa;0.153;363.6666;8.6936;"539;804.7;1072";"1622.9501002004006;3064.065130260523;4587.320440881766";"628.4245714285712;799.8805714285716;1080.8011428571422"
9kPa;0.168;290.4399;9.5628;"584.6;740.3;1206";"2465.708216432865;4687.75611222445;7059.576953907819";"663.4591428571425;1162.2657142857138;1440.0634285714282"
