Sheetname;m;n;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
3kPa;0.159;136.736;136.7363;9.0495;"517.1;1036.0;1334.0";"849.095140562249;1600.8617234468938;2333.4763052208837";"268.4334285714284;398.8765714285713;504.7591428571426"
6kPa;0.145;181.639;181.6394;8.2413;"257.4;470.9;724.1";"1752.5453815261044;3279.938276553107;4758.969477911647";"437.7399999999998;652.0902857142855;873.2568571428568"
15kPa;0.48;-2093.377;-2093.3767;25.6417;"156.0;400.0;1005.0;1245.0";"5963.718072289157;7993.4959919839675;9980.630460921842;11992.046184738956";"976.6137142857139;1526.7999999999993;2507.119999999999;3862.811428571427"
