Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
M1_3kPa;0.262;261.1312;14.6562;"501.2;737.2;1014";"900.1465330661326;1654.6987975951895;2406.738276553106";"490.28599999999983;706.422571428571;884.2822857142853"
M1_6kPa;0.223;374.1832;12.5967;"246.2;568;943";"1800.4040080160335;3301.611022044087;4801.984368737483";"773.3757142857139;1118.2571428571423;1444.1257142857135"
M1_9kPa;0.192;633.9149;10.859;"267.1;545.9;873.4";"2708.213226452907;4960.488977955909;7198.432264529057";"1152.1399999999994;1588.0457142857135;2013.4771428571416"
M2_3kPa;0.289;205.7379;16.1311;"267.1;597;848.3";"895.3153507014023;1642.7975951903816;2405.3895791583163";"467.3105714285712;675.668857142857;904.0057142857138"
M2_6kPa;0.247;335.5707;13.86;"237.6;566.6;946.4";"1798.9751503006016;3303.4136272545065;4801.711022044089";"784.7477142857139;1139.994285714285;1525.6457142857134"
M2_9kPa;0.218;448.7292;12.2937;"369.1;645.7;937.1";"2698.6921843687373;4953.99498997996;7202.323246492977";"1031.8002857142853;1538.3714285714277;2013.2142857142849"
