Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
3kPa;0.138;230.2646;7.8609;"255.6;507.9;803.8";"825.0699198396801;1607.1334669338682;2338.564729458915";"348.77485714285694;442.64571428571406;558.0557142857141"
6kPa;0.144;208.6137;8.1817;"355.6;568.4;852.1";"1689.129458917837;3284.0905811623234;4718.0352705410805";"447.8134285714284;688.5082857142853;882.8857142857138"
9kPa;0.142;252.6439;8.1038;"246.7;470.7;718.1";"2664.7651302605227;4930.89378757515;7155.1965931863715";"637.1682857142854;944.4614285714281;1276.6479999999995"
15kPa;0.534;-2430.7354;28.1147;"230.9;745.7;1772.0;2326.0;2557.0;2893.0;3208.0;3651.0;3915.0";"5956.042307692307;6658.794323873121;7417.803171953255;8245.428046744575;9003.688146911518;9758.043572621034;10509.792988313857;11255.706176961603;12006.39297658863";"1108.491428571428;1091.0865714285708;1306.8114285714278;1723.2485714285708;2285.139999999999;2844.44857142857;3283.9828571428557;3594.542857142855;4061.6685714285695"
