Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
3kPa;0.671;0.0368;33.8585;"190.1;581.9;860.4";"888.4340280561115;1634.5993987975949;2418.7515030060144";"559.5088571428569;1168.1428571428564;1588.0028571428566"
6kPa;0.231;1307.4278;13.0183;"239.6;669.2;918.7";"1835.200200400801;3321.9258517034095;4824.2478957915855";"1712.4285714285706;2113.885714285713;2403.7114285714274"
9kPa;0.238;1647.1036;13.3712;"302.4;633.3;918.7";"2751.2012024048067;4988.110621242482;7219.50561122245";"2294.6057142857135;2845.7371428571414;3356.717142857141"
