Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
3kPa;0.113;552.8449;6.4364;"360.3;714.6;973.5";"994.9283166332663;1821.7408817635283;2319.7501002004033";"668.5545714285711;749.1279999999995;820.3011428571424"
6kPa;0.133;508.94;7.592;"95.2;325.4;659.9";"1895.7521042084154;3216.4226452905814;4745.276152304608";"759.0579999999997;942.4211428571424;1139.211428571428"
