Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
3kPa;0.156;174.7765;8.8455;"563.6;831.1;1437";"812.1352505010024;1628.8318637274558;2339.307214428857";"305.0774285714284;419.842857142857;543.3239999999997"
6kPa;0.151;197.4211;8.607;"463.1;727.1;1012";"1715.4478957915837;3205.4597194388775;4758.449899799603";"458.0711428571426;680.6434285714283;918.6208571428567"
9kPa;0.14;223.2846;7.9677;"241.7;567.8;973.4";"2657.181563126252;4884.565130260524;7137.091983967934";"602.849714285714;891.750571428571;1229.8028571428565"
