Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
3kPa;0.135;564.9104;7.673;"283.5;480.2;728.9";"995.9400400801597;1781.8200400801597;2347.443286573149";"707.7762857142853;784.2068571428568;893.240571428571"
6kPa;0.127;632.4459;7.2565;"127.6;414.3;850.3";"1885.6048096192394;3243.536873747492;4643.013827655317";"902.5308571428567;986.364571428571;1252.7457142857138"
9kPa;0.15;735.8762;8.5459;"503.3;738.3;954";"2745.6985971943895;5014.1494989979965;7107.2020040080115";"1153.1599999999996;1479.5799999999992;1808.9542857142849"
