Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
3kPa;0.188;375.9009;10.6213;"403.4;721.5;962.2";"913.2215030060108;1657.608016032064;2407.028456913828";"546.1511428571425;688.7568571428568;826.2911428571426"
6kPa;0.251;423.9728;14.1039;"203;466.9;798.2";"1816.265731462926;3310.9783567134277;4804.137474949896";"870.5691428571424;1275.3828571428564;1621.277142857142"
9kPa;0.274;569.8432;15.3007;"286.6;600.7;928.5";"2716.8092184368734;4960.705410821642;7206.105611222438";"1316.6428571428564;1919.9399999999991;2544.8285714285703"
