Sheetname;m;n;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
3kPa;0.137;142.439;142.4387;7.8261;"473.9;1003.0;1398.0";"833.796967871486;1615.318236472946;2364.321084337349";"253.85771428571417;370.962857142857;464.0842857142855"
6kPa;0.156;118.226;118.2261;8.8843;"262.0;499.0;708.9";"1749.55;3266.1402805611224;4742.55";"392.7442857142855;626.667714285714;860.6222857142852"
15kPa;0.469;-2057.097;-2057.0972;25.1451;"535.7;1106.0;1323.0;1677.0";"5953.698995983936;7976.383967935871;9993.460721442887;11985.759036144578";"888.892571428571;1470.611428571428;2610.885714285713;3656.8114285714264"
