Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
M1_3kPa;0.133;238.0236;7.5979;"217.4;486;806.3";"844.4919639278568;1579.9633266533087;2365.7300601202396";"346.0311428571427;457.75742857142836;549.2465714285711"
M1_6kPa;0.16;188.2875;9.1169;"251.7;818.6;1032";"1744.6907815631248;3177.415030060123;4706.728056112222";"473.39828571428546;688.249714285714;948.4097142857139"
M1_9kPa;0.159;191.178;9.042;"316.4;608.3;774.3";"2615.888977955909;4923.3094188376745;7140.118036072149";"613.2499999999998;962.830571428571;1333.451428571428"
M2_3kPa;0.156;198.0329;8.8715;"311.9;558.7;746.2";"784.3287615230463;1577.75390781563;2340.4701402805626";"326.2402857142855;432.49599999999987;569.3651428571426"
M2_6kPa;0.153;193.9821;8.7;"497.3;1088;1279";"1718.7318637274536;3157.7184368737485;4720.104008016032";"446.96314285714266;696.432571428571;907.0288571428567"
M2_9kPa;0.154;176.4948;8.748;"195;558.7;766.7";"2663.53266533066;4923.94769539079;7155.7018036072095";"603.388857142857;899.9079999999996;1294.8599999999994"
