Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
3kPa;0.268;279.018;14.9811;"382.6;643.9;920.9";"908.3763126252512;1671.24609218437;2398.6873747495006";"525.8834285714282;718.4785714285712;924.8697142857139"
6kPa;0.218;478.296;12.2861;"224.7;548.7;873";"1808.795190380761;3313.926853707415;4819.138677354709";"869.488571428571;1205.4599999999994;1525.0828571428565"
9kPa;0.23;491.5797;12.9657;"362.9;657.5;976.5";"2706.104208416832;4959.681763527054;7193.9875751503";"1088.1999999999994;1686.5657142857135;2121.2514285714274"
