Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
0.09;0.655;307.0543;33.2105;"373.4;540.1;728.3";"22.32419765531063;75.22283466933865;96.71603647294589";"323.37057142857134;350.40771428571406;374.55742857142843"
0.6;0.244;351.183;13.6939;"154.3;426;678.7";"192.84257715430834;338.7000801603209;492.9284769539082";"396.95199999999977;436.0825714285712;470.13714285714263"
1.5;0.234;374.8339;13.1596;"171.2;443;757.2";"409.7845891783566;835.9811422845686;1209.920841683366";"469.22485714285693;573.3251428571425;656.1019999999996"
