Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
3kPa;0.036;700.0941;2.08;"216.1;541.1;864.6";"952.0611022044086;1694.247094188377;2419.7326653306623";"727.3231428571426;776.490571428571;780.4568571428567"
6kPa;0.123;556.1701;6.9986;"478.4;714.5;923.5";"1857.850701402805;3295.4693386773574;4760.226452905813";"789.3368571428567;950.6199999999997;1145.5371428571423"
9kPa;0.127;634.5347;7.2165;"302.2;543.1;853.4";"2758.424248496997;5011.736673346691;7138.444889779554";"984.9225714285709;1266.8399999999992;1539.594285714285"
