Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
0.09;1.422;240.2714;54.8758;"359.1;684.4;973";"32.89569458917837;54.64593567134268;71.22369478957917";"286.080857142857;320.16171428571414;340.2694285714284"
0.6;-0.138;476.8702;-7.8734;"497.3;752.4;1046";"180.05637274549116;330.91901803607277;480.16967935871753";"467.8602857142855;399.15742857142834;426.52999999999986"
1.5;0.27;310.8317;15.1328;"241;582.5;897.8";"405.62094188376756;814.2609418837667;1198.6382765531073";"424.42628571428554;522.987714285714;639.1314285714282"
