Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
M1_3kPa;0.278;289.0414;15.5622;"330.9;644.8;907.3";"923.2855110220443;1685.1082164328652;2425.6955911823648";"543.0485714285711;764.6677142857139;961.3711428571423"
M1_6kPa;0.245;442.1656;13.7903;"126;435.9;712.6";"1820.2200400801605;3308.5715430861705;4801.289579158324";"891.8154285714282;1248.471428571428;1623.4942857142848"
M1_9kPa;0.256;518.6068;14.3839;"262.3;596.5;896";"2718.28496993988;4963.7422845691335;7201.394388777557";"1222.1371428571424;1778.759999999999;2371.885714285713"
M2_3kPa;0.265;328.037;14.8459;"386;682.9;970.1";"921.532605210421;1667.5256513026054;2423.859719438877";"566.0499999999997;782.474571428571;964.3559999999995"
M2_6kPa;0.16;821.1654;9.0837;"189.1;464.3;752.3";"1819.0070140280573;3309.3783567134246;4820.897595190379";"1137.2514285714278;1300.108571428571;1616.8457142857133"
M2_9kPa;0.261;465.5614;14.6248;"287.5;556.7;786.2";"2719.343486973947;4952.893987975952;7194.583567134275";"1170.9942857142853;1766.2828571428563;2338.7885714285703"
