Sheetname;m;n;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
3kPa;0.166;110.359;110.3593;9.4124;"314.2;709.2;897.4";"840.1216265060241;1588.5480961923847;2352.6222891566263";"261.35171428571414;350.48771428571416;511.8414285714283"
6kPa;0.111;261.237;261.2367;6.3586;"103.6;327.7;680.2";"1779.9929718875503;3269.1342685370737;4746.977309236947";"449.803714285714;645.1859999999997;780.3571428571424"
15kPa;0.451;-1913.392;-1913.3916;24.2916;"216.7;811.2;1174.0;1763.0";"5945.641365461848;7986.945691382765;9992.8623246493;11977.68875502008";"969.0311428571423;1410.9028571428566;2556.3114285714273;3614.7114285714274"
