Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
3kPa;0.254;266.0856;14.2543;"357.8;540.3;886.3";"917.8210020040082;1646.0669338677337;2373.9927855711417";"501.11714285714265;680.5405714285711;871.0545714285711"
6kPa;0.202;626.9266;11.4304;"219.7;484.9;761.3";"1834.5769539078156;3324.976953907817;4858.016833667335";"997.8371428571423;1299.2257142857134;1609.137142857142"
9kPa;0.206;999.0841;11.6127;"213.6;497;744.3";"2737.751703406814;4980.445691382768;7206.144488977957";"1541.6199999999994;2062.879999999999;2459.7285714285704"
