Sheetname;m;y-intercept;Angle;Times_max;Normal Stress;Shear Stress max
3kPa;0.236;270.7974;13.273;"318.6;689.7;1018";"901.9898797595192;1644.9280561122257;2402.146693386772";"485.2148571428569;655.5645714285711;839.0594285714282"
6kPa;0.239;318.2485;13.4449;"400;683.6;992.9";"1803.1639278557113;3301.6498997996023;4802.768336673349";"743.6511428571425;1118.865714285714;1460.7514285714278"
9kPa;0.22;358.5608;12.42;"258.6;659.2;921.5";"2706.753106212427;4952.095390781562;7207.772344689379";"984.1722857142853;1390.2971428571423;1975.299999999999"
